순위,선수명,팀명,ERA,G,CG,SHO,W,L,SV,HLD,WPCT,TBF,IP,H,HR,BB,HBP,SO,R,ER,Season,Category,WHIP
27,베이커,삼성,4.13,26,4,0,15,7,0,0,0.682,740,172,172,15,78,3,87,82,79,1998,pitcher,
28,김태석,롯데,4.63,40,3,0,9,13,0,0,0.409,597,138,149,17,34,10,62,82,71,1998,pitcher,
29,이상목,한화,4.84,38,5,2,9,17,2,0,0.346,754,174 2/3,198,23,38,3,145,104,94,1998,pitcher,
30,조계현,삼성,5.21,29,2,0,8,11,0,0,0.421,678,150 1/3,171,19,64,12,94,99,87,1998,pitcher,
1,임창용,삼성,2.14,71,0,0,13,4,38,0,0.765,535,138 2/3,91,10,29,7,141,33,33,1999,pitcher,
2,정민태,현대,2.54,33,7,0,20,7,3,0,0.741,936,230 2/3,208,24,63,4,178,69,65,1999,pitcher,
3,이경필,두산,3.19,28,1,0,13,7,0,0,0.650,690,166 2/3,151,12,55,10,91,67,59,1999,pitcher,
4,문동환,롯데,3.28,30,6,1,17,4,0,0,0.810,781,189 1/3,171,12,67,9,141,75,69,1999,pitcher,
5,박석진,롯데,3.58,33,2,1,11,3,2,0,0.786,611,148 1/3,123,14,44,14,101,65,59,1999,pitcher,
6,정민철,한화,3.75,32,2,1,18,8,1,0,0.692,834,201 2/3,179,22,57,12,151,92,84,1999,pitcher,
7,주형광,롯데,3.98,31,4,0,13,12,1,0,0.520,794,190,190,25,45,2,177,88,84,1999,pitcher,
8,송진우,한화,4.00,35,8,2,15,5,6,0,0.750,792,186 2/3,180,24,61,3,132,99,83,1999,pitcher,
9,김수경,현대,4.14,40,3,1,10,11,1,0,0.476,826,184 2/3,180,18,109,6,184,98,85,1999,pitcher,
10,최용호,두산,4.26,38,1,0,8,7,0,0,0.533,673,154 1/3,131,16,92,15,108,79,73,1999,pitcher,
11,손혁,LG,4.29,26,1,0,10,9,0,0,0.526,619,142 2/3,153,18,54,8,75,71,68,1999,pitcher,
12,이상목,한화,4.29,31,2,0,14,8,2,0,0.636,707,172,161,26,29,8,140,86,82,1999,pitcher,
13,노장진,삼성,4.35,33,2,1,15,9,0,0,0.625,842,188 1/3,180,17,102,14,173,100,91,1999,pitcher,
14,김기덕,쌍방울,4.50,31,1,0,2,12,1,0,0.143,652,150,184,17,30,12,84,80,75,1999,pitcher,
15,김상진,삼성,4.67,31,0,0,12,7,0,0,0.632,777,179 1/3,195,22,59,5,136,104,93,1999,pitcher,
16,유동훈,해태,4.75,40,1,0,7,9,2,0,0.438,682,155 1/3,155,26,59,19,87,87,82,1999,pitcher,
17,오철민,해태,5.19,35,0,0,6,6,1,0,0.500,631,138 2/3,163,14,64,7,86,94,80,1999,pitcher,
18,강병규,두산,5.21,29,1,0,13,9,0,0,0.591,637,143 1/3,164,19,48,9,92,92,83,1999,pitcher,
19,김진웅,삼성,5.40,34,2,0,11,13,0,0,0.458,759,171 2/3,173,23,86,3,144,115,103,1999,pitcher,
20,곽현희,해태,6.15,36,0,0,11,11,4,0,0.500,654,146 1/3,171,31,45,12,104,106,100,1999,pitcher,
21,김상태,LG,6.17,31,0,0,9,15,0,0,0.375,703,147 1/3,183,12,95,4,110,121,101,1999,pitcher,
1,구대성,한화,2.77,48,0,0,6,7,21,0,0.462,540,133 1/3,98,13,47,8,136,47,41,2000,pitcher,
2,해리거,LG,3.12,31,3,0,17,10,0,0,0.630,905,225,192,10,61,3,162,85,78,2000,pitcher,
3,손민한,롯데,3.20,28,4,1,12,7,0,0,0.632,707,174 1/3,153,16,55,6,117,68,62,2000,pitcher,
4,임선동,현대,3.36,29,1,1,18,4,0,0,0.818,802,195 1/3,177,13,61,7,174,75,73,2000,pitcher,
5,송진우,한화,3.40,28,2,1,13,2,4,1,0.867,574,135,121,19,56,5,105,60,51,2000,pitcher,
6,장문석,LG,3.42,40,0,0,9,8,11,0,0.529,584,137,123,10,50,12,134,55,52,2000,pitcher,
7,정민태,현대,3.48,29,3,1,18,6,0,0,0.750,846,207,192,21,66,1,153,85,80,2000,pitcher,
8,주형광,롯데,3.49,26,1,0,8,6,0,0,0.571,619,149 2/3,136,18,49,3,127,60,58,2000,pitcher,
9,이광우,두산,3.70,29,2,1,11,3,1,0,0.786,629,150 2/3,169,18,30,6,76,72,62,2000,pitcher,
10,김수경,현대,3.74,29,1,0,18,8,0,0,0.692,820,195,167,16,91,3,172,87,81,2000,pitcher,
11,노장진,삼성,4.29,28,1,0,11,8,0,0,0.579,623,138 1/3,142,15,86,3,103,72,66,2000,pitcher,
12,이승호,SK,4.51,42,1,0,10,12,9,0,0.455,610,139 2/3,130,14,70,5,132,77,70,2000,pitcher,
13,파머,두산,4.54,27,1,0,10,9,0,1,0.526,689,152 2/3,158,11,85,5,92,90,77,2000,pitcher,
14,최상덕,해태,4.56,30,6,1,12,9,0,0,0.571,802,185 2/3,193,28,62,11,136,102,94,2000,pitcher,
15,김진웅,삼성,4.93,32,2,1,15,7,1,0,0.682,760,173 1/3,183,23,67,5,136,99,95,2000,pitcher,
16,기론,롯데,5.01,31,0,0,10,8,0,0,0.556,757,169,183,21,85,6,134,103,94,2000,pitcher,
17,조규수,한화,5.05,29,2,1,10,12,0,0,0.455,738,169 1/3,177,25,67,5,105,104,95,2000,pitcher,
18,김기덕,SK,5.22,32,0,0,5,10,1,1,0.333,603,138,167,27,33,7,72,86,80,2000,pitcher,
19,이용훈,삼성,5.63,33,0,0,9,7,0,2,0.563,619,139,146,22,72,11,112,88,87,2000,pitcher,
1,박석진,롯데,2.98,47,0,0,4,10,14,1,0.286,549,133,127,6,34,19,81,50,44,2001,pitcher,
2,신윤호,LG,3.12,70,0,0,15,6,18,0,0.714,629,144 1/3,129,8,79,12,99,58,50,2001,pitcher,
3,이승호,SK,3.55,35,6,1,14,14,2,0,0.500,951,220 2/3,200,27,115,5,165,101,87,2001,pitcher,
4,한용덕,한화,3.56,31,2,1,8,10,0,2,0.444,611,144,150,14,33,7,112,65,57,2001,pitcher,
5,오상민,SK,3.57,69,0,0,7,6,10,9,0.538,571,133 2/3,123,16,43,6,121,56,53,2001,pitcher,
6,이혜천,두산,3.62,53,0,0,9,6,3,6,0.600,631,141 2/3,152,17,72,3,107,72,57,2001,pitcher,
7,배영수,삼성,3.77,35,0,0,13,8,0,0,0.619,750,169 2/3,169,11,89,8,96,82,71,2001,pitcher,
8,송진우,한화,3.84,37,1,0,10,8,2,0,0.556,814,185 1/3,181,20,86,9,139,99,79,2001,pitcher,
9,에르난데스,SK,3.89,34,4,2,14,13,0,0,0.519,1016,233 2/3,198,18,134,14,215,110,101,2001,pitcher,
10,임창용,삼성,3.90,30,1,1,14,6,1,0,0.700,791,184 2/3,169,25,62,17,136,88,80,2001,pitcher,
11,김진웅,삼성,3.96,43,1,1,11,7,12,2,0.611,596,141,132,14,61,2,129,65,62,2001,pitcher,
12,마일영,현대,3.96,42,1,1,10,5,0,5,0.667,671,152 1/3,149,8,88,8,110,80,67,2001,pitcher,
13,박지철,롯데,4.03,34,0,0,13,7,1,2,0.650,671,156 1/3,163,13,62,4,104,72,70,2001,pitcher,
14,손민한,롯데,4.21,29,0,0,15,6,0,0,0.714,760,173 1/3,184,18,69,4,110,89,81,2001,pitcher,
15,조규수,한화,4.24,40,1,1,7,8,5,2,0.467,617,136,158,18,63,6,85,71,64,2001,pitcher,
16,최상덕,KIA,4.32,29,8,3,12,10,0,0,0.545,790,185 1/3,179,20,64,10,106,98,89,2001,pitcher,
17,레스,KIA,4.34,27,2,0,7,9,0,0,0.438,665,153 1/3,139,21,85,3,104,81,74,2001,pitcher,
18,김원형,SK,4.37,26,1,0,9,9,0,0,0.500,657,154 1/3,152,20,60,3,100,89,75,2001,pitcher,
19,임선동,현대,4.40,24,5,1,14,9,0,0,0.609,681,159 2/3,201,10,43,3,77,84,78,2001,pitcher,
20,해리거,LG,4.62,28,0,0,8,11,0,0,0.421,715,161 2/3,161,13,80,5,104,87,83,2001,pitcher,
21,발데스,LG,4.65,30,0,0,10,9,0,0,0.526,740,164 2/3,166,16,88,11,80,93,85,2001,pitcher,
22,테일러,현대,4.75,29,0,0,8,10,0,0,0.444,724,155 1/3,160,12,105,10,94,91,82,2001,pitcher,
23,전준호,현대,5.09,30,0,0,12,6,0,1,0.667,639,143 1/3,163,15,54,7,85,86,81,2001,pitcher,
1,엘비라,삼성,2.50,22,,,13,6,0,0,0.684,,137,115,7,52,4,111,44,38,2002,pitcher,1.22
2,송진우,한화,2.99,31,,,18,7,0,0,0.720,,220,199,16,54,11,165,82,73,2002,pitcher,1.15
3,임창용,삼성,3.08,36,,,17,6,2,0,0.739,,204 1/3,188,24,34,24,160,82,70,2002,pitcher,1.09
4,리오스,KIA,3.14,54,,,14,5,13,1,0.737,,157 2/3,140,14,44,24,102,59,55,2002,pitcher,1.17
5,이승호,SK,3.15,27,,,6,12,0,0,0.333,,142 2/3,120,18,40,5,144,55,50,2002,pitcher,1.12
6,채병용,SK,3.19,51,,,7,9,11,2,0.438,,141,120,20,44,9,126,51,50,2002,pitcher,1.16
7,키퍼,KIA,3.34,32,,,19,9,0,0,0.679,,202 1/3,172,24,52,16,135,84,75,2002,pitcher,1.11
8,박명환,두산,3.44,30,,,14,10,0,0,0.583,,185 2/3,173,12,68,7,169,78,71,2002,pitcher,1.30
9,손민한,롯데,3.67,23,,,4,9,0,0,0.308,,142 1/3,144,19,30,4,82,68,58,2002,pitcher,1.22
10,구자운,두산,3.79,32,,,8,8,1,0,0.500,,133,134,6,58,7,95,64,56,2002,pitcher,1.44
11,레스,두산,3.87,31,,,16,8,0,0,0.667,,202 1/3,202,19,69,8,154,97,87,2002,pitcher,1.34
12,이상훈,두산,3.91,70,,,4,10,2,6,0.286,,133 2/3,129,9,40,10,93,59,58,2002,pitcher,1.26
13,콜,두산,4.01,27,,,12,6,0,0,0.667,,157,152,11,73,8,114,71,70,2002,pitcher,1.43
14,김진우,KIA,4.07,33,,,12,11,0,0,0.522,,188,201,20,67,11,177,94,85,2002,pitcher,1.43
15,토레스,현대,4.19,28,,,10,11,0,0,0.476,,180 1/3,182,21,64,21,97,97,84,2002,pitcher,1.36
16,만자니오,LG,4.32,31,,,8,11,0,1,0.421,,162 1/3,161,13,94,21,122,85,78,2002,pitcher,1.57
17,염종석,롯데,4.36,31,,,8,14,0,0,0.364,,159,180,15,36,15,108,93,77,2002,pitcher,1.36
18,최원호,LG,4.41,31,,,6,11,0,0,0.353,,138 2/3,127,19,61,17,53,70,68,2002,pitcher,1.36
19,최상덕,KIA,4.47,24,,,8,7,0,0,0.533,,133,150,23,33,4,79,79,66,2002,pitcher,1.38
20,제춘모,SK,4.68,30,,,9,7,0,0,0.563,,146,154,18,51,11,93,90,76,2002,pitcher,1.40
21,김수경,현대,4.88,27,,,12,10,0,0,0.545,,151 1/3,155,25,58,2,130,84,82,2002,pitcher,1.41
22,정민철,한화,5.35,26,,,7,13,0,0,0.350,,138,144,19,39,9,116,83,82,2002,pitcher,1.33
1,바워스,현대,3.01,24,,,13,4,1,1,0.765,,143 2/3,145,12,46,9,85,58,48,2003,pitcher,1.33
2,이승호,LG,3.19,31,,,11,11,0,0,0.500,,191 2/3,151,17,103,9,157,76,68,2003,pitcher,1.33
3,정민태,현대,3.31,29,,,17,2,0,0,0.895,,177,179,17,42,5,122,76,65,2003,pitcher,1.25
4,김진우,KIA,3.45,24,,,11,5,0,0,0.688,,169 1/3,150,9,63,12,146,68,65,2003,pitcher,1.26
5,이상목,한화,3.54,33,,,15,7,1,1,0.682,,185 1/3,203,18,29,4,118,78,73,2003,pitcher,1.25
6,임창용,삼성,3.55,28,,,13,3,1,0,0.813,,147,141,15,44,15,85,63,58,2003,pitcher,1.26
7,이리키,두산,3.74,39,,,7,11,5,0,0.389,,159,155,17,53,9,87,68,66,2003,pitcher,1.31
8,키퍼,두산,3.79,29,,,8,7,0,0,0.533,,168 2/3,160,15,46,17,77,78,71,2003,pitcher,1.22
9,리오스,KIA,3.82,30,,,10,13,0,0,0.435,,188 2/3,186,19,62,28,121,93,80,2003,pitcher,1.31
10,정민철,한화,4.00,26,,,11,10,0,0,0.524,,139 2/3,132,18,51,4,73,65,62,2003,pitcher,1.31
11,김진웅,삼성,4.05,32,,,9,11,1,0,0.450,,153 1/3,151,19,70,5,99,75,69,2003,pitcher,1.44
12,스미스,SK,4.20,30,,,7,10,0,0,0.412,,152,157,9,61,9,82,84,71,2003,pitcher,1.43
13,배영수,삼성,4.51,30,,,13,5,0,0,0.722,,163 2/3,174,11,77,7,99,85,82,2003,pitcher,1.53
14,김수경,현대,4.63,29,,,10,9,0,0,0.526,,167,184,14,70,4,121,96,86,2003,pitcher,1.52
1,박명환,두산,2.50,26,,,12,3,0,0,0.800,,158 2/3,130,4,52,7,162,50,44,2004,pitcher,1.15
2,레스,두산,2.60,29,,,17,8,0,0,0.680,,200 2/3,189,12,57,15,116,68,58,2004,pitcher,1.23
3,배영수,삼성,2.61,35,,,17,2,0,0,0.895,,189 2/3,163,6,74,11,144,65,55,2004,pitcher,1.25
4,리오스,KIA,2.87,32,,,17,8,0,0,0.680,,222 2/3,209,10,70,25,145,75,71,2004,pitcher,1.25
5,권오준,삼성,3.23,47,,,11,5,2,7,0.688,,153 1/3,128,15,40,7,142,56,55,2004,pitcher,1.10
6,피어리,현대,3.32,28,,,16,6,0,0,0.727,,181 2/3,166,24,61,9,130,73,67,2004,pitcher,1.25
7,송진우,한화,3.61,28,,,11,8,1,0,0.579,,172,162,19,44,7,100,73,69,2004,pitcher,1.20
8,박지철,롯데,3.87,27,,,9,7,0,0,0.563,,139 2/3,131,9,60,6,94,62,60,2004,pitcher,1.37
9,오주원,현대,3.99,30,,,10,9,0,0,0.526,,149,135,16,53,5,113,71,66,2004,pitcher,1.26
10,이승호,SK,3.99,31,,,15,9,0,1,0.625,,169,160,21,87,13,145,87,75,2004,pitcher,1.46
11,김수경,현대,4.01,26,,,11,8,0,0,0.579,,152 2/3,151,14,62,3,100,74,68,2004,pitcher,1.40
12,장문석,LG,4.03,28,,,10,8,1,0,0.556,,152,168,15,55,8,75,73,68,2004,pitcher,1.47
13,마뇽,KIA,4.17,34,,,8,9,0,1,0.471,,155 1/3,156,15,63,9,83,76,72,2004,pitcher,1.41
14,김원형,SK,4.20,30,,,8,6,1,1,0.571,,135,147,19,41,10,78,70,63,2004,pitcher,1.39
15,호지스,삼성,4.24,30,,,9,10,0,0,0.474,,163 1/3,158,15,81,21,123,91,77,2004,pitcher,1.46
16,김진웅,삼성,4.32,35,,,9,7,0,2,0.563,,135 1/3,126,12,75,8,99,73,65,2004,pitcher,1.49
17,김광삼,LG,4.47,31,,,8,7,0,1,0.533,,151,164,9,76,11,109,85,75,2004,pitcher,1.59
18,정민태,현대,5.00,28,,,7,14,0,0,0.333,,165 2/3,193,21,42,8,123,109,92,2004,pitcher,1.42
19,송창식,한화,5.13,26,,,8,7,0,0,0.533,,140 1/3,143,15,63,8,80,83,80,2004,pitcher,1.47
20,강철민,KIA,5.33,31,,,8,12,1,0,0.400,,145 1/3,159,14,61,13,86,94,86,2004,pitcher,1.51
1,손민한,롯데,2.46,28,,,18,7,1,0,0.720,,168 1/3,149,9,38,2,105,54,46,2005,pitcher,1.11
2,배영수,삼성,2.86,31,,,11,11,2,1,0.500,,173,148,10,48,11,147,61,55,2005,pitcher,1.13
3,랜들,두산,3.25,29,,,12,7,0,0,0.632,,149 2/3,163,18,47,15,111,59,54,2005,pitcher,1.40
4,황두성,현대,3.29,60,,,11,9,1,7,0.550,,128 2/3,106,15,41,6,137,53,47,2005,pitcher,1.14
5,신승현,SK,3.38,30,,,12,9,0,0,0.571,,154 2/3,146,12,45,12,91,70,58,2005,pitcher,1.23
6,김원형,SK,3.41,30,,,14,8,0,0,0.636,,171 2/3,172,17,30,15,94,73,65,2005,pitcher,1.18
7,문동환,한화,3.47,26,,,10,9,0,0,0.526,,173 2/3,174,12,57,3,103,74,67,2005,pitcher,1.33
8,리오스,두산,3.51,32,,,15,12,0,0,0.556,,205 1/3,203,20,57,17,147,88,80,2005,pitcher,1.27
9,송진우,한화,3.81,23,,,11,7,0,0,0.611,,127 2/3,126,13,42,7,88,61,54,2005,pitcher,1.32
10,김진우,KIA,3.91,31,,,6,10,1,0,0.375,,145,126,10,61,12,123,71,63,2005,pitcher,1.29
11,캘러웨이,현대,3.97,32,,,16,9,0,0,0.640,,197 1/3,206,17,54,12,103,99,87,2005,pitcher,1.32
12,최원호,LG,4.07,27,,,13,6,0,0,0.684,,163 2/3,153,17,60,15,106,79,74,2005,pitcher,1.30
13,김해님,한화,4.28,32,,,6,8,1,2,0.429,,128 1/3,152,12,30,10,61,66,61,2005,pitcher,1.42
14,바르가스,삼성,5.06,26,,,10,8,0,0,0.556,,128,120,12,63,7,66,78,72,2005,pitcher,1.43
15,손승락,현대,5.43,26,,,5,10,0,0,0.333,,134 1/3,154,18,48,10,80,81,81,2005,pitcher,1.50
1,류현진,한화,2.23,30,,,18,6,1,0,0.750,,201 2/3,159,11,52,2,204,57,50,2006,pitcher,1.05
2,브라운,삼성,2.68,27,,,11,9,0,0,0.550,,154 1/3,118,14,44,13,92,50,46,2006,pitcher,1.05
3,손민한,롯데,2.78,25,,,10,8,1,0,0.556,,161 2/3,147,4,39,9,96,54,50,2006,pitcher,1.15
4,이혜천,두산,2.79,32,,,8,6,0,1,0.571,,142,119,4,56,12,104,52,44,2006,pitcher,1.23
5,장원삼,현대,2.85,29,,,12,10,0,0,0.545,,183 1/3,146,19,63,5,142,60,58,2006,pitcher,1.14
6,캘러웨이,현대,2.87,27,,,14,7,0,0,0.667,,166 1/3,171,4,35,8,95,61,53,2006,pitcher,1.24
7,리오스,두산,2.90,34,,,12,16,0,0,0.429,,233,204,14,49,15,145,86,75,2006,pitcher,1.09
8,배영수,삼성,2.92,32,,,8,9,0,4,0.471,,157 1/3,142,13,38,9,133,56,51,2006,pitcher,1.14
9,랜들,두산,2.95,30,,,16,8,0,0,0.667,,192 1/3,170,14,58,10,142,66,63,2006,pitcher,1.19
10,그레이싱어,KIA,3.02,29,,,14,12,0,0,0.538,,188,151,10,47,12,164,65,63,2006,pitcher,1.05
11,문동환,한화,3.05,31,,,16,9,1,0,0.640,,189,186,10,67,11,85,78,64,2006,pitcher,1.34
12,채병용,SK,3.07,27,,,7,8,0,0,0.467,,152 2/3,136,10,55,9,97,60,52,2006,pitcher,1.25
13,이상목,롯데,3.25,23,,,12,8,0,0,0.600,,138 2/3,132,17,23,5,50,63,50,2006,pitcher,1.12
14,한기주,KIA,3.26,44,,,10,11,1,8,0.476,,140 2/3,117,8,52,12,78,57,51,2006,pitcher,1.20
15,하리칼라,삼성,3.33,23,,,12,7,0,0,0.632,,135 1/3,131,14,26,6,70,60,50,2006,pitcher,1.16
16,전준호,현대,3.39,30,,,14,4,1,0,0.778,,143 1/3,141,7,60,12,82,56,54,2006,pitcher,1.40
17,정재복,LG,3.59,29,,,7,10,0,0,0.412,,143,126,9,49,3,63,64,57,2006,pitcher,1.22
18,송진우,한화,3.60,26,,,8,8,0,0,0.500,,147 1/3,147,10,47,9,94,64,59,2006,pitcher,1.32
19,장원준,롯데,3.61,29,,,7,12,0,0,0.368,,179 2/3,152,14,75,9,130,85,72,2006,pitcher,1.26
20,염종석,롯데,3.72,25,,,6,9,0,0,0.400,,128 1/3,146,7,31,5,62,62,53,2006,pitcher,1.38
21,전병호,삼성,3.90,35,,,10,8,0,2,0.556,,134,146,10,47,5,65,69,58,2006,pitcher,1.44
22,윤길현,SK,3.90,32,,,5,9,1,2,0.357,,140 2/3,126,13,54,7,91,66,61,2006,pitcher,1.28
23,임동규,삼성,3.91,34,,,8,7,0,3,0.533,,138,136,20,41,8,59,69,60,2006,pitcher,1.28
24,정민철,한화,3.93,25,,,7,13,0,0,0.350,,130 2/3,142,18,42,5,62,68,57,2006,pitcher,1.41
25,김원형,SK,4.07,24,,,5,9,0,0,0.357,,139 1/3,152,11,41,13,52,69,63,2006,pitcher,1.39
26,심수창,LG,4.38,29,,,10,9,0,0,0.526,,135 2/3,147,17,52,8,56,73,66,2006,pitcher,1.47
1,리오스,두산,2.07,33,,,22,5,0,0,0.815,,234 2/3,191,8,58,16,147,69,54,2007,pitcher,1.06
2,채병용,SK,2.84,28,,,11,8,0,0,0.579,,146,137,8,47,5,84,51,46,2007,pitcher,1.26
3,정민철,한화,2.90,26,,,12,5,0,0,0.706,,155 1/3,155,11,32,8,66,58,50,2007,pitcher,1.20
4,류현진,한화,2.94,30,,,17,7,0,0,0.708,,211,195,15,68,3,178,74,69,2007,pitcher,1.25
5,랜들,두산,3.12,28,,,12,8,0,0,0.600,,164 1/3,142,16,55,10,113,60,57,2007,pitcher,1.20
6,박명환,LG,3.19,27,,,10,6,0,0,0.625,,155 1/3,133,11,72,4,117,59,55,2007,pitcher,1.32
7,레이번,SK,3.27,32,,,17,8,0,0,0.680,,184 2/3,167,13,86,13,98,74,67,2007,pitcher,1.37
8,브라운,삼성,3.33,30,,,12,8,0,0,0.600,,162 1/3,155,10,43,14,68,65,60,2007,pitcher,1.22
9,손민한,롯데,3.34,30,,,13,10,0,0,0.565,,194,191,17,48,2,95,74,72,2007,pitcher,1.23
10,장원삼,현대,3.63,30,,,9,10,0,0,0.474,,168 2/3,152,16,75,3,132,80,68,2007,pitcher,1.35
11,로마노,SK,3.69,32,,,12,4,0,0,0.750,,146 1/3,158,9,67,5,81,72,60,2007,pitcher,1.54
12,윤석민,KIA,3.78,28,,,7,18,0,0,0.280,,162,161,10,59,15,104,76,68,2007,pitcher,1.36
13,김수경,현대,3.88,30,,,12,7,0,0,0.632,,176 1/3,170,19,61,2,127,85,76,2007,pitcher,1.31
14,스코비,KIA,3.92,22,,,8,10,0,0,0.444,,126 1/3,123,11,62,5,58,57,55,2007,pitcher,1.46
15,전병호,삼성,4.06,32,,,8,8,0,2,0.500,,137 1/3,148,11,41,4,39,71,62,2007,pitcher,1.38
16,세드릭,한화,4.15,28,,,11,13,0,0,0.458,,158 1/3,143,7,104,10,140,81,73,2007,pitcher,1.56
17,정재복,LG,4.42,44,,,6,5,1,2,0.545,,126 1/3,134,6,38,2,71,65,62,2007,pitcher,1.36
18,황두성,현대,4.45,46,,,7,9,1,3,0.438,,139 2/3,121,13,51,1,142,76,69,2007,pitcher,1.23
19,장원준,롯데,4.67,32,,,8,12,0,0,0.400,,156,171,14,69,9,103,87,81,2007,pitcher,1.54
20,전준호,현대,4.75,26,,,6,10,0,0,0.375,,142,145,23,60,6,73,79,75,2007,pitcher,1.44
1,윤석민,KIA,2.33,24,,,14,5,0,1,0.737,,154 2/3,121,10,42,4,119,45,40,2008,pitcher,1.05
2,김광현,SK,2.39,27,,,16,4,0,0,0.800,,162,127,9,63,2,150,50,43,2008,pitcher,1.17
3,봉중근,LG,2.66,28,,,11,8,0,0,0.579,,186 1/3,153,13,68,12,140,66,55,2008,pitcher,1.19
4,채병용,SK,2.70,27,,,10,2,0,1,0.833,,136 2/3,126,10,43,6,81,43,41,2008,pitcher,1.24
5,장원삼,우리,2.85,27,,,12,8,0,0,0.600,,167 1/3,145,9,57,2,126,54,53,2008,pitcher,1.21
6,손민한,롯데,2.97,26,,,12,4,0,0,0.750,,179,183,12,40,1,80,66,59,2008,pitcher,1.25
7,레이번,SK,3.30,26,,,5,3,0,0,0.625,,133 2/3,129,9,65,10,68,55,49,2008,pitcher,1.45
8,류현진,한화,3.31,26,,,14,7,0,0,0.667,,165 2/3,144,12,67,1,143,66,61,2008,pitcher,1.27
9,정현욱,삼성,3.40,53,,,10,4,0,11,0.714,,127,108,3,55,1,97,51,48,2008,pitcher,1.28
10,마일영,우리,3.49,28,,,11,11,0,0,0.500,,173,155,11,57,12,83,77,67,2008,pitcher,1.23
11,장원준,롯데,3.53,26,,,12,10,0,0,0.545,,155 2/3,162,12,54,4,102,75,61,2008,pitcher,1.39
12,송승준,롯데,3.76,26,,,12,7,0,0,0.632,,153 1/3,154,7,70,6,114,78,64,2008,pitcher,1.46
13,윤성환,삼성,3.92,35,,,10,11,0,2,0.476,,135 1/3,132,8,45,7,102,66,59,2008,pitcher,1.31
14,옥스프링,LG,3.93,29,,,10,10,0,0,0.500,,174,182,12,77,12,110,83,76,2008,pitcher,1.49
15,송진우,한화,4.48,31,,,6,8,0,2,0.429,,132 2/3,141,13,62,6,73,72,66,2008,pitcher,1.53
16,랜들,두산,4.48,29,,,9,9,0,0,0.500,,150 2/3,171,15,49,9,101,78,75,2008,pitcher,1.46
17,정민철,한화,5.23,25,,,6,10,0,0,0.375,,127 1/3,144,13,40,5,56,78,74,2008,pitcher,1.45
1,김광현,SK,2.80,21,,,12,2,0,0,0.857,,138 1/3,121,14,53,4,112,46,43,2009,pitcher,1.26
2,전병두,SK,3.11,49,,,8,4,8,1,0.667,,133 1/3,114,13,48,2,136,50,46,2009,pitcher,1.22
3,로페즈,KIA,3.12,29,,,14,5,0,0,0.737,,190 1/3,200,6,41,10,129,83,66,2009,pitcher,1.27
4,송은범,SK,3.13,31,,,12,3,0,0,0.800,,149 1/3,155,17,49,5,103,59,52,2009,pitcher,1.37
5,양현종,KIA,3.15,29,,,12,5,0,1,0.706,,148 2/3,133,14,58,2,139,55,52,2009,pitcher,1.28
6,구톰슨,KIA,3.24,26,,,13,4,0,0,0.765,,161 1/3,149,15,46,8,95,61,58,2009,pitcher,1.21
7,봉중근,LG,3.29,26,,,11,12,0,0,0.478,,172 1/3,160,13,57,14,127,70,63,2009,pitcher,1.26
8,류현진,한화,3.57,28,,,13,12,0,0,0.520,,189 1/3,180,19,67,2,188,80,75,2009,pitcher,1.30
9,조정훈,롯데,4.05,27,,,14,9,0,0,0.609,,182 1/3,189,23,53,7,175,97,82,2009,pitcher,1.33
10,장원준,롯데,4.15,28,,,13,8,0,0,0.619,,162 2/3,175,16,82,6,108,83,75,2009,pitcher,1.58
11,이현승,우리,4.18,30,,,13,10,0,0,0.565,,170,161,25,66,5,120,84,79,2009,pitcher,1.34
12,윤성환,삼성,4.32,30,,,14,5,0,0,0.737,,166 2/3,163,19,34,10,131,83,80,2009,pitcher,1.18
13,크루세타,삼성,4.36,30,,,9,10,0,0,0.474,,157,134,11,109,6,127,90,76,2009,pitcher,1.55
14,송승준,롯데,4.72,29,,,13,8,0,0,0.619,,167 2/3,175,25,68,8,104,92,88,2009,pitcher,1.45
15,김선우,두산,5.11,29,,,11,10,0,0,0.524,,148,176,18,48,6,89,93,84,2009,pitcher,1.51
16,안영명,한화,5.18,26,,,11,8,0,0,0.579,,140 2/3,148,34,45,7,87,88,81,2009,pitcher,1.37
1,류현진,한화,1.82,25,,,16,4,0,0,0.800,,192 2/3,149,11,45,9,187,42,39,2010,pitcher,1.01
2,김광현,SK,2.37,31,,,17,7,0,0,0.708,,193 2/3,153,13,84,5,183,56,51,2010,pitcher,1.22
3,카도쿠라,SK,3.22,30,,,14,7,0,0,0.667,,153 2/3,146,14,52,6,143,65,55,2010,pitcher,1.29
4,히메네스,두산,3.32,27,,,14,5,0,0,0.737,,152,139,7,62,9,87,65,56,2010,pitcher,1.32
5,서재응,KIA,3.34,24,,,9,7,0,0,0.563,,140,134,10,29,11,68,53,52,2010,pitcher,1.16
6,장원삼,삼성,3.46,29,,,13,5,0,0,0.722,,151,139,13,44,5,115,62,58,2010,pitcher,1.21
7,봉중근,LG,3.58,28,,,10,9,0,0,0.526,,178 1/3,166,13,69,14,130,74,71,2010,pitcher,1.32
8,사도스키,롯데,3.87,27,,,10,8,0,0,0.556,,169 2/3,153,17,54,8,120,83,73,2010,pitcher,1.22
9,김선우,두산,4.02,28,,,13,6,0,0,0.684,,154 2/3,163,12,50,8,128,77,69,2010,pitcher,1.38
