FA년도,구단명,선수명,세부 포지션,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2
2024,한화,이태양,RP,,FA 1년차,,2023,33,50,12,38,3,3,0,0,2,0,100.1,36,100,25,6,7,21,3,72,1,3.23,50.1,50,0.83,0.95,1.78,66000,,
2014,군 복무,이현승,SP,8,신규,A,2013,30,,,,,,,,,,,,,,,,,,,,,,,,,,,대졸,
2015,두산,이현승,RP,8,신규,A,2014,31,65,3,62,3,3,0,1,15,0,55,31,68,12,2,2,23,3,39,4,5.07,11.1,43.2,0.36,0.17,0.53,11000,대졸,
2016,두산,이현승,CP,8,신규,A,2015,32,41,0,41,3,1,18,6,2,1,46.2,15,45,9,0,3,10,2,41,2,2.89,0,46.2,,0.93,0.93,15500,대졸,
2017,두산,이현승,CP,8,신규,A,2016,33,56,0,56,1,4,25,7,1,0,57.2,31,65,10,2,8,17,7,41,2,4.84,0,57.2,,-0.03,-0.03,40000,대졸,
2018,두산,이현승,CP,,FA 1년차,,2017,34,57,0,57,3,2,5,7,9,0,52,23,62,9,2,4,16,4,38,0,3.98,0,52,,0.74,0.74,40000,,
2021,LG,임찬규,SP,9,자격유지,B,2020,28,27,26,1,10,9,0,0,0,0,147.2,67,143,29,2,14,65,5,138,4,4.08,142,5.2,2.83,0.33,3.16,13500,23년 B등급,
2022,LG,임찬규,SP,9,자격유지,B,2021,29,17,17,0,1,8,0,0,0,0,90.2,39,76,9,3,7,41,3,67,5,3.87,90.2,0,1.88,,1.88,22000,23년 B등급,
2023,LG,임찬규,SP,9,자격유지,B,2022,30,23,23,0,6,11,0,0,0,0,103.2,58,113,13,3,10,39,7,75,3,5.04,103.2,0,1.16,,1.16,20000,23년 B등급,
2024,LG,임찬규,SP,9,자격유지,B,2023,31,30,26,4,14,3,0,0,1,0,144.2,55,142,22,2,10,54,5,103,1,3.42,136.2,8,3.58,0.2,3.78,17000,23년 B등급,
2025,LG,임찬규,SP,,FA 1년차,,2024,32,25,24,1,10,6,0,0,1,0,134,57,144,29,1,12,42,5,136,1,3.83,133,1,4.39,0.07,4.46,20000,,
2021,NC,임창민,RP,9,자격유지,C,2020,35,44,0,44,7,2,0,1,11,1,37.2,22,39,10,1,4,23,2,44,3,5.26,0,37.2,,-0.06,-0.06,16000,신규 35세 23년 C등급,
2022,NC,임창민,RP,9,자격유지,C,2021,36,46,0,46,0,3,0,3,17,0,40.1,17,35,8,0,2,20,4,29,7,3.79,0,40.1,,0.46,0.46,14000,신규 35세 23년 C등급,
2023,두산,임창민,RP,9,자격유지,C,2022,37,32,0,32,0,0,2,3,6,2,27.1,12,26,1,0,3,10,3,21,1,3.95,0,27.1,,-0.39,-0.39,12000,신규 35세 23년 C등급,
