FA년도,구단명,선수명,세부 포지션,투,인정년수,구분,FA등급,플레이년도,Age,G,GS,GR,W,L,S,BLSV,HD,BLHD,IP,ER,H,2B,3B,HR,BB,HP,SO,WP,ERA,FIP,선발 이닝,구원 이닝,선발 WAR,구원 WAR,종합 WAR,연봉,비고1,비고2,잔류 여부,FA 계약 연수,FA 계약 총액,TEAM RANK,TEAM G,TEAM GS,TEAM GR,TEAM W,TEAM L,TEAM S,TEAM BLSV,TEAM HD,TEAM BLHD,TEAM IP,TEAM ER,TEAM H,TEAM 2B,TEAM 3B,TEAM HR,TEAM BB,TEAM HP,TEAM SO,TEAM WP,TEAM ERA,TEAM FIP,TEAM 선발 이닝,TEAM 구원 이닝,TEAM 선발 WAR,TEAM 구원 WAR,TEAM 종합 WAR,TEAM 연봉,
2023,삼성,오승환,CP,우투,4,신규,C,2022,40,57,0,57,6,2,31,7,2,0,57,21,59,9,1,8,13,1,51,1,3.32,3.98,0,57,,1.54,1.54,160000,신규 35세 해외 복귀,,,,,7,144,144,542,66,76,34,21,71,5,1287,613,1370,251,15,129,478,66,971,47,4.29,4.33,791,496,17.69,3.56,21.26,590300,
2024,삼성,오승환,CP,우투,4,신규,C,2023,41,58,1,57,4,5,30,4,2,0,62.2,24,57,11,1,9,15,2,44,0,3.45,4.59,5,57.2,0.06,0.93,0.99,140000,신규 35세 해외 복귀,,잔류,2,22,8,144,144,547,61,82,38,21,69,5,1278.1,654,1414,238,22,120,464,52,899,51,4.6,4.37,765.1,513,16.05,0.73,16.77,659100,
2025,삼성,오승환,CP,우투,,FA 1년차,,2024,42,58,0,58,3,9,27,8,2,1,55,30,75,17,2,9,18,3,42,5,4.91,5.31,0,55,,0.09,0.09,40000,,,,,,2,144,144,558,78,64,41,25,116,10,1282.2,667,1384,225,23,164,477,81,980,58,4.68,5.08,735.2,547,21.01,8.75,29.76,476500,
2017,넥센,오주원,RP,좌투,9,신규,A,2016,31,55,0,55,3,2,2,0,7,0,51,25,50,7,1,3,17,4,40,0,4.41,4.26,0,51,,1.56,1.56,8800,고졸,,,,,3,144,144,464,77,66,38,17,74,9,1280.1,705,1487,249,27,152,435,68,895,50,4.96,5.05,741,539.1,16.83,10.51,27.34,332300,
2018,넥센,오주원,RP,좌투,9,신규,A,2017,32,57,3,54,2,7,1,1,18,2,73.2,39,96,22,1,10,15,2,56,6,4.76,4.59,15,58.2,0,1.3,1.3,12000,고졸,,,,,7,144,144,410,69,73,40,18,66,6,1271,710,1488,280,21,149,388,97,1005,56,5.03,4.7,776,495,18.06,4.27,22.33,427000,
2019,넥센,오주원,RP,좌투,9,신규,A,2018,33,61,0,61,3,6,1,3,15,0,52.1,36,61,11,0,8,13,1,36,1,6.19,5.16,0,52.1,,0.56,0.56,15000,고졸,,,,,4,144,144,447,75,69,32,23,72,0,1282,723,1442,252,18,178,416,98,1021,59,5.08,5.17,815.2,466.1,21.01,2.89,23.9,378200,
2020,키움,오주원,CP,좌투,9,신규,A,2019,34,57,0,57,3,3,18,2,3,0,54.1,14,54,7,0,1,7,3,41,1,2.32,2.71,0,54.1,,2.13,2.13,15000,고졸,,잔류,2,7,2,144,144,467,86,57,39,11,91,7,1279,513,1293,244,24,61,371,58,984,45,3.61,3.44,790.1,488.2,18.66,10.98,29.63,328000,
2021,키움,오주원,RP,좌투,,FA 1년차,,2020,35,25,0,25,3,1,0,1,2,1,18.1,11,22,2,0,6,0,0,13,0,5.4,6.12,0,18.1,,-0.06,-0.06,20000,,,,,,5,144,144,586,80,63,42,18,81,8,1280.1,624,1336,208,15,126,446,73,950,51,4.39,4.49,706.1,574,15.99,9.1,25.09,380300,
2014,LG,우규민,SP,우언,9,신규,A,2013,28,30,25,5,10,8,0,0,2,1,147.1,64,162,25,6,5,31,12,92,2,3.91,3.5,139,8.1,3.67,-0.44,3.23,,고졸,,,,,3,128,128,451,74,54,42,11,86,8,1134.2,469,1131,183,20,74,406,87,822,46,3.72,4,706,428.2,16.51,7.11,23.63,153900,
2015,LG,우규민,SP,우언,9,신규,A,2014,29,29,28,1,11,5,0,0,0,0,153.2,69,170,18,5,11,34,12,103,2,4.04,4.36,152.2,1,4.48,0.04,4.53,18000,고졸,,,,,4,128,128,446,62,64,35,21,65,4,1142.2,582,1211,195,27,104,419,95,810,51,4.58,4.88,673.1,469.1,13.29,9.64,22.93,307900,
2016,LG,우규민,SP,우언,9,신규,A,2015,30,25,25,0,11,9,0,0,0,0,152.2,58,163,26,5,13,17,12,119,2,3.42,3.75,152.2,0,5.21,,5.21,30000,고졸,,,,,9,144,144,472,64,78,25,15,44,8,1279.2,657,1352,227,26,125,490,98,1063,82,4.62,4.5,779.1,500.1,16.31,4.55,20.86,323300,
2017,LG,우규민,SP,우언,9,신규,A,2016,31,28,24,4,6,11,0,0,1,1,132,72,166,30,0,16,36,18,81,1,4.91,5.39,129,3,2.55,-0.42,2.13,40000,고졸,,이적,4,65,4,144,144,532,71,71,34,16,75,12,1287.2,721,1426,243,23,122,539,109,909,84,5.04,5.08,745.1,542.1,13.22,5,18.21,409600,
2018,삼성,우규민,SP,우언,4,FA 1년차,B,2017,32,27,25,2,7,10,0,0,0,0,133,77,161,28,4,19,23,16,100,2,5.21,4.94,130,3,1.18,0.15,1.33,70000,고졸,,,,,9,144,144,469,55,84,27,12,34,10,1281.1,837,1541,281,28,187,548,118,1063,74,5.88,5.39,718,563.1,8.48,5.34,13.82,504100,
2019,삼성,우규민,RP,우언,4,재자격,B,2018,33,48,0,48,4,1,0,1,10,0,58.2,28,70,12,0,6,12,5,48,0,4.3,4.36,0,58.2,,1.86,1.86,70000,고졸,,,,,6,144,144,473,68,72,33,17,56,8,1285.1,741,1477,291,18,185,441,107,1114,45,5.19,5.16,750.2,534.2,14.24,12.44,26.68,482300,
2020,삼성,우규민,CP,우언,4,재자격,B,2019,34,54,0,54,2,7,15,3,7,0,59,18,58,3,0,7,10,6,40,0,2.75,4.31,0,59,,2.02,2.02,70000,고졸,,,,,8,144,144,483,60,83,29,15,60,4,1275.1,658,1332,253,37,125,523,70,924,49,4.64,4.5,763.2,511.2,11.09,6.22,17.31,442100,
2021,삼성,우규민,RP,우언,4,재자격,B,2020,35,52,0,52,3,3,7,2,11,1,48,33,61,10,1,3,9,1,30,0,6.19,3.76,0,48,,0.5,0.5,70000,고졸,,잔류,2,10,8,144,144,554,64,75,25,19,80,4,1272.1,676,1330,222,16,151,542,67,931,55,4.78,4.95,770.2,501.2,20.59,5.38,25.97,522000,
2022,삼성,우규민,RP,우언,,FA 1년차,,2021,36,60,0,60,3,3,2,4,24,0,49,18,58,4,1,5,9,2,35,1,3.31,3.83,0,49,,0.9,0.9,20000,,,,,,3,144,143,532,76,59,46,13,80,4,1259,601,1297,230,24,131,530,51,1038,58,4.3,4.22,769.2,489.1,21.25,5.69,26.94,521500,
2020,NC,원종현,CP,우투,8,신규,C,2019,32,60,0,60,3,3,31,9,0,0,60,26,62,9,2,4,17,3,59,5,3.9,3.13,0,60,,0.35,0.35,20000,35세 이상,,,,,5,144,144,501,73,69,32,17,68,5,1284.1,572,1285,199,19,103,483,92,991,68,4.01,4.17,785.1,499,21.67,6.01,27.68,370100,
2021,NC,원종현,CP,우투,8,신규,C,2020,33,58,0,58,3,5,30,6,0,0,57,27,56,5,1,4,20,2,41,4,4.26,4.17,0,57,,0.87,0.87,26000,35세 이상,,,,,1,144,144,592,83,55,31,19,88,3,1296.2,660,1292,199,15,153,547,79,1049,65,4.58,4.86,754,542.2,21.71,7.36,29.07,438600,
2022,NC,원종현,CP,우투,8,신규,C,2021,34,61,0,61,2,2,14,7,6,0,53,25,67,9,0,5,23,3,45,4,4.25,4.17,0,53,,0.13,0.13,30000,35세 이상,,,,,7,144,144,552,67,68,33,18,80,9,1256.2,634,1268,231,15,125,592,77,1055,75,4.54,4.34,746.2,510,16.69,4.82,21.51,403800,
2023,NC,원종현,RP,우투,8,신규,C,2022,35,68,0,68,5,0,1,3,13,0,63.1,21,55,8,0,5,17,1,50,2,2.98,3.63,0,63.1,,1.11,1.11,27000,35세 이상,,이적,4,25,6,144,144,537,67,74,25,15,54,7,1286.2,557,1230,218,18,111,515,98,1168,80,3.9,3.96,749.2,537,17.67,5.65,23.32,453600,
2024,키움,원종현,RP,우투,,FA 1년차,,2023,36,20,0,20,1,1,0,4,6,0,18.2,12,24,8,1,3,5,1,17,2,5.79,4.32,0,18.2,,-0.24,-0.24,50000,,,,,,10,144,144,539,58,83,33,18,61,8,1288.1,632,1340,237,23,84,532,63,962,56,4.42,4.14,760,528.1,17.64,-0.05,17.59,519600,
2010,KIA,유동훈,CP,우언,8,신규,A,2009,32,57,0,57,6,2,22,,10,,67.1,4,37,,,2,13,7,38,0,0.53,3.47,,,,4.62,4.62,9000,대졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2011,KIA,유동훈,CP,우언,8,신규,A,2010,33,48,0,48,3,2,14,,1,,47.1,15,46,,,1,10,7,32,0,2.85,3.15,,,,1.25,1.25,21000,대졸,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,KIA,유동훈,CP,우언,8,신규,A,2011,34,47,0,47,3,3,7,,2,,48,21,51,,,4,12,4,21,0,3.94,4.36,,,,0.78,0.78,18000,대졸,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,KIA,유동훈,CP,우언,8,신규,A,2012,35,43,0,43,1,0,6,0,5,0,34,20,33,,,0,10,2,29,0,5.29,2.45,,,,0.03,0.03,15000,대졸,,잔류,2,7.5,5,133,133,402,62,65,27,,33,,1183.2,513,1161,,,69,452,68,822,56,3.9,3.73,,,15.2,1.49,16.68,192600,
2014,KIA,유동훈,RP,우언,,FA 1년차,,2013,36,49,0,49,1,3,0,0,5,1,52.1,17,56,14,1,3,12,7,38,1,2.92,3.73,0,52.1,,0.85,0.85,17500,,,,,,8,128,128,423,51,74,32,12,50,6,1142.1,650,1307,259,28,88,533,75,923,73,5.12,4.28,682.1,460,12.23,3.32,15.54,221400,
2018,두산,유희관,SP,좌투,8,신규,A,2017,31,30,29,1,11,6,0,0,1,0,188.2,95,228,37,3,20,41,10,106,5,4.53,4.9,188.1,0.1,3.9,-0.01,3.89,50000,대졸,,,,,2,144,144,446,84,57,35,13,46,3,1288,627,1405,234,31,125,464,87,956,54,4.38,4.78,801,487,18.47,8.08,26.55,625200,
2019,두산,유희관,SP,좌투,8,신규,A,2018,32,29,28,1,10,10,0,0,0,0,141,105,197,41,3,23,42,4,81,1,6.7,5.86,138,3,0.78,0.09,0.87,50000,대졸,,,,,2,144,144,471,93,51,41,17,56,6,1288.2,713,1401,266,16,154,476,109,1025,72,4.98,5.13,765.2,523,18.95,7.48,26.43,535100,
2020,두산,유희관,SP,좌투,8,신규,A,2019,33,28,27,1,11,8,0,0,0,0,166.1,60,171,37,2,8,42,3,64,2,3.25,4.26,165.2,0.2,4.71,-0.19,4.52,35000,대졸,,,,,1,144,144,477,88,55,44,16,69,4,1283.2,500,1259,231,22,78,380,70,860,48,3.51,3.87,826.1,457.1,22.48,6.48,28.95,590000,
2021,두산,유희관,SP,좌투,8,신규,A,2020,34,27,27,0,10,11,0,0,0,0,136.1,76,190,37,5,14,39,3,56,1,5.02,5.15,136.1,0,1.49,,1.49,47000,대졸,,잔류,1,10,2,144,144,512,79,61,23,15,45,9,1285.2,616,1395,258,25,109,478,61,1046,52,4.31,4.2,773.2,512,19.83,4.48,24.3,443600,
2022,두산,유희관,SP,좌투,,FA 1년차,,2021,35,15,15,0,4,7,0,0,0,0,63,54,107,14,3,10,24,3,23,0,7.71,6.07,63,0,-0.57,,-0.57,30000,,,,,,2,144,144,514,71,65,28,15,61,11,1269.1,601,1295,212,21,104,587,73,1045,52,4.26,4.19,726,543.1,15.98,9.1,25.08,315300,
2017,한화,윤규진,RP,우투,9,신규,A,2016,32,41,16,25,7,7,1,0,3,2,100.1,76,125,16,2,19,54,8,74,4,6.82,6.57,71.1,29,0.74,0.26,1,17000,고졸,,,,,7,144,144,536,66,75,24,13,39,14,1292.2,827,1520,230,15,155,634,76,976,72,5.76,5.44,587,705.2,7.02,8.22,15.23,655500,
2018,한화,윤규진,SP,우투,9,신규,A,2017,33,36,18,18,8,7,0,0,2,0,119,69,138,20,2,19,44,4,93,5,5.22,5.4,98.2,20.1,2.36,-0.08,2.28,18000,고졸,,,,,8,144,144,490,61,81,31,21,49,10,1273,747,1474,278,16,166,446,100,914,77,5.28,5.17,736.1,536.2,12.5,3.25,15.75,679200,
2019,한화,윤규진,SP,우투,9,신규,A,2018,34,18,17,1,2,6,0,0,0,0,84,55,99,22,2,14,30,6,81,3,5.89,5.25,82,2,0.95,0,0.95,21000,고졸,,,,,3,144,144,541,77,67,37,13,62,5,1274,698,1394,246,13,164,472,89,1124,78,4.93,4.95,723.2,550.1,12.89,10.69,23.58,569900,
2020,한화,윤규진,RP,우투,9,신규,A,2019,35,3,0,3,0,0,0,0,0,0,4.1,5,6,2,1,0,1,0,1,0,10.38,3.95,0,4.1,,-0.09,-0.09,20000,고졸,,잔류,2,5,9,144,144,505,58,86,28,17,43,9,1268.2,677,1407,238,19,120,526,72,934,66,4.8,4.45,748.2,520,10.23,3.24,13.47,406600,
2021,한화,윤규진,RP,우투,,FA 1년차,,2020,36,2,0,2,0,0,0,0,0,0,3.2,3,7,0,0,1,1,0,4,0,7.36,5.36,0,3.2,,-0.14,-0.14,17000,,,,,,10,144,144,561,46,95,21,15,54,6,1265,742,1400,240,18,158,609,79,1019,76,5.28,5.01,701,564,7.54,4.65,12.19,417900,
2013,SK,윤길현,RP,우투,9,신규,A,2012,29,5,0,5,0,0,0,,0,,3.1,4,6,,,1,3,0,1,0,10.8,9.1,,,,-0.11,-0.11,15500,고졸,,,,,2,133,133,416,71,59,40,,69,,1181.1,502,1114,,,90,457,70,814,35,3.82,3.93,,,10.76,7.91,18.67,249200,
2014,SK,윤길현,RP,우투,9,신규,A,2013,30,45,0,45,3,1,0,0,8,0,43.1,16,35,11,0,5,21,2,47,4,3.32,4.03,0,43.1,,0.87,0.87,12500,고졸,,,,,6,128,128,394,62,63,31,17,38,5,1139,527,1091,217,12,101,505,70,878,66,4.16,4.43,750,389,15.86,3.14,19,208900,
2015,SK,윤길현,RP,우투,9,신규,A,2014,31,59,0,59,3,3,7,3,9,2,57.2,25,49,10,1,7,28,1,63,9,3.9,4.42,0,57.2,,1.05,1.05,14500,고졸,,,,,5,128,128,427,61,65,26,15,44,7,1129.1,692,1271,239,21,153,522,68,837,67,5.51,5.49,673.1,456,13.55,3.71,17.26,270300,
2016,SK,윤길현,CP,우투,9,신규,A,2015,32,70,0,70,0,4,13,5,17,0,62.2,22,58,12,0,7,36,2,62,3,3.16,4.73,0,62.2,,1.21,1.21,22000,고졸,,이적,4,38,5,144,144,477,69,73,31,11,60,3,1280.2,670,1358,270,11,153,517,70,1149,71,4.71,4.6,740.2,540,15.11,8.4,23.52,354500,
2017,롯데,윤길현,RP,우투,,FA 1년차,,2016,33,62,0,62,7,7,2,8,16,0,60,40,75,17,3,8,22,2,50,3,6,4.88,0,60,,0.2,0.2,50000,,,,,,8,144,144,523,66,78,27,18,59,9,1266.1,792,1486,276,32,161,585,78,1009,82,5.63,5.22,753,513.1,13.43,5.9,19.33,529100,
2011,KIA,윤석민,SP,우투,9,신규,A,2010,24,23,13,10,6,3,3,,0,,101,43,95,,,5,36,3,94,3,3.83,3.19,,,1.95,0.05,2,22000,고졸,,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,KIA,윤석민,SP,우투,9,신규,A,2011,25,27,25,2,17,5,1,,0,,172.1,47,137,,,10,44,6,178,2,2.45,2.63,,,5.72,0.22,5.94,19000,고졸,,,,,4,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,KIA,윤석민,SP,우투,9,신규,A,2012,26,28,24,4,9,8,0,0,0,0,153,53,120,,,9,33,8,137,4,3.12,2.78,,,2.99,0.26,3.25,38000,고졸,,,,,5,133,133,402,62,65,27,,33,,1183.2,513,1161,,,69,452,68,822,56,3.9,3.73,,,15.2,1.49,16.68,192600,
2014,KIA,윤석민,CP,우투,9,신규,A,2013,27,30,11,19,3,6,7,1,2,1,87.2,39,91,18,3,9,28,1,76,0,4,3.88,62.2,25,1.72,0.82,2.54,38000,고졸,,미국,,,8,128,128,423,51,74,32,12,50,6,1142.1,650,1307,259,28,88,533,75,923,73,5.12,4.28,682.1,460,12.23,3.32,15.54,221400,
2015,미국,윤석민,,우투,,FA 1년차,,2014,,,,,,,,,,,,,,,,,,,,,,,,,,,,,미국,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2012,삼성,윤성환,SP,우투,8,신규,A,2011,30,24,23,1,14,5,0,,0,,137.1,54,151,,,8,30,3,83,4,3.54,3.55,,,2.71,0.05,2.77,15000,대졸,,,,,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,삼성,윤성환,SP,우투,8,신규,A,2012,31,19,19,0,9,6,0,,0,,114,36,112,,,6,26,4,81,5,2.84,3.15,,,3.58,,3.58,25000,대졸,,,,,1,133,133,389,80,51,39,,71,,1187.2,448,1085,,,65,384,37,885,46,3.39,3.31,,,14.32,12.54,26.86,269000,
2014,삼성,윤성환,SP,우투,8,신규,A,2013,32,27,27,0,13,8,0,0,0,0,170.2,62,167,40,2,16,37,4,122,4,3.27,3.87,170.2,0,5.24,,5.24,30000,대졸,,,,,1,128,128,380,75,51,31,7,49,5,1146.2,507,1119,194,21,98,411,60,955,44,3.98,3.98,750,396.2,15.08,6.1,21.18,300800,
2015,삼성,윤성환,SP,우투,8,신규,A,2014,33,28,28,0,12,7,0,0,0,0,170.1,83,196,30,4,18,37,8,133,4,4.39,4.24,170.1,0,4.75,,4.75,45000,대졸,,잔류,4,80,1,128,128,415,78,47,35,18,65,2,1144,575,1217,257,24,120,395,61,996,51,4.52,4.48,737.1,406.2,21.11,5.64,26.76,430500,
2016,삼성,윤성환,SP,우투,4,FA 1년차,A,2015,34,30,30,0,17,8,0,0,0,0,194,81,199,34,4,27,30,10,164,1,3.76,4.27,194,0,6.34,,6.34,80000,고졸,,,,,2,144,144,433,88,56,34,10,60,4,1275.1,665,1323,270,17,182,423,64,1194,44,4.69,4.54,850,425.1,18.76,8.1,26.86,490700,
2017,삼성,윤성환,SP,우투,4,재자격,A,2016,35,28,28,0,11,10,0,0,0,0,180,87,202,35,3,25,41,13,85,6,4.35,5.64,180,0,5.12,,5.12,80000,고졸,,,,,9,144,144,503,65,78,34,18,60,4,1282.1,804,1507,251,20,193,518,87,935,52,5.64,5.6,763.2,518.2,10.97,8.58,19.55,553600,
2018,삼성,윤성환,SP,우투,4,재자격,A,2017,36,28,28,0,12,9,0,0,0,0,174.1,83,181,39,4,22,37,15,130,3,4.28,4.77,174.1,0,5.45,,5.45,80000,고졸,,,,,9,144,144,469,55,84,27,12,34,10,1281.1,837,1541,281,28,187,548,118,1063,74,5.88,5.39,718,563.1,8.48,5.34,13.82,504100,
2019,삼성,윤성환,SP,우투,4,재자격,A,2018,37,24,24,0,5,9,0,0,0,0,117.1,91,164,30,0,28,32,9,89,2,6.98,6.37,117.1,0,0.8,,0.8,80000,고졸,,잔류,1,10,6,144,144,473,68,72,33,17,56,8,1285.1,741,1477,291,18,185,441,107,1114,45,5.19,5.16,750.2,534.2,14.24,12.44,26.68,482300,
2020,삼성,윤성환,SP,우투,,FA 1년차,,2019,38,27,27,0,8,13,0,0,0,0,145.1,77,168,34,3,14,50,7,65,3,4.77,5.05,145.1,0,2.09,,2.09,40000,,,,,,8,144,144,483,60,83,29,15,60,4,1275.1,658,1332,253,37,125,523,70,924,49,4.64,4.5,763.2,511.2,11.09,6.22,17.31,442100,
2013,LG,이동현,RP,우투,9,신규,A,2012,29,52,0,52,2,2,0,,6,,56.2,19,43,,,1,18,0,56,0,3.02,2.21,,,,1.37,1.37,5000,고졸,,,,,7,133,133,443,57,72,35,,64,,1202,537,1235,,,65,422,71,735,57,4.02,3.83,,,8.14,7.36,15.5,148000,
2014,LG,이동현,RP,우투,9,신규,A,2013,30,64,0,64,6,3,1,3,25,2,72,24,70,8,2,4,25,3,53,1,3,3.7,0,72,,1.69,1.69,8500,고졸,,,,,3,128,128,451,74,54,42,11,86,8,1134.2,469,1131,183,20,74,406,87,822,46,3.72,4,706,428.2,16.51,7.11,23.63,153900,
2015,LG,이동현,RP,우투,9,신규,A,2014,31,61,0,61,5,1,2,4,23,0,59.1,18,54,10,1,2,21,8,38,3,2.73,4.52,0,59.1,,1.86,1.86,17000,고졸,,,,,4,128,128,446,62,64,35,21,65,4,1142.2,582,1211,195,27,104,419,95,810,51,4.58,4.88,673.1,469.1,13.29,9.64,22.93,307900,
2016,LG,이동현,RP,우투,9,신규,A,2015,32,60,0,60,5,5,4,4,11,0,59.1,29,65,13,0,4,20,2,55,7,4.4,3.52,0,59.1,,0.46,0.46,30000,고졸,,잔류,3,30,9,144,144,472,64,78,25,15,44,8,1279.2,657,1352,227,26,125,490,98,1063,82,4.62,4.5,779.1,500.1,16.31,4.55,20.86,323300,
2017,LG,이동현,RP,우투,,FA 1년차,,2016,33,46,0,46,4,3,2,2,5,1,43.1,26,54,13,0,5,14,3,38,3,5.4,4.42,0,43.1,,-0.03,-0.03,60000,,,,,,4,144,144,532,71,71,34,16,75,12,1287.2,721,1426,243,23,122,539,109,909,84,5.04,5.08,745.1,542.1,13.22,5,18.21,409600,
2016,군 복무,이보근,SP,우투,9,신규,A,2015,29,,,,,,,,,,,,,,,,,,,,,,,,,,,,고졸,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2017,넥센,이보근,RP,우투,9,신규,A,2016,30,67,0,67,5,7,0,2,25,4,64.2,32,69,13,3,3,27,6,56,5,4.45,4.16,0,64.2,,1.08,1.08,8400,고졸,,,,,3,144,144,464,77,66,38,17,74,9,1280.1,705,1487,249,27,152,435,68,895,50,4.96,5.05,741,539.1,16.83,10.51,27.34,332300,
2018,넥센,이보근,RP,우투,9,신규,A,2017,31,55,0,55,6,2,6,3,18,0,52.2,32,62,9,0,9,17,0,58,2,5.47,4.49,0,52.2,,0.51,0.51,15000,고졸,,,,,7,144,144,410,69,73,40,18,66,6,1271,710,1488,280,21,149,388,97,1005,56,5.03,4.7,776,495,18.06,4.27,22.33,427000,
2019,넥센,이보근,RP,우투,9,신규,A,2018,32,64,0,64,7,6,0,4,24,0,61,29,66,10,2,6,14,4,54,2,4.28,4.17,0,61,,1.03,1.03,14000,고졸,,이적,4,19,4,144,144,447,75,69,32,23,72,0,1282,723,1442,252,18,178,416,98,1021,59,5.08,5.17,815.2,466.1,21.01,2.89,23.9,378200,
2020,키움,이보근,RP,우투,,FA 1년차,,2019,33,19,0,19,0,2,0,1,3,0,16.2,18,29,3,2,1,4,0,12,0,9.72,3.47,0,16.2,,-0.5,-0.5,20000,,,,,,2,144,144,467,86,57,39,11,91,7,1279,513,1293,244,24,61,371,58,984,45,3.61,3.44,790.1,488.2,18.66,10.98,29.63,328000,
2018,두산,이용찬,CP,우투,9,신규,A,2017,28,68,0,68,5,5,22,2,2,0,71.2,35,83,16,1,5,27,4,57,3,4.4,4.35,0,71.2,,1.35,1.35,18000,고졸,,,,,2,144,144,446,84,57,35,13,46,3,1288,627,1405,234,31,125,464,87,956,54,4.38,4.78,801,487,18.47,8.08,26.55,625200,
2019,두산,이용찬,SP,우투,9,신규,A,2018,29,25,24,1,15,3,0,0,0,0,144,58,151,24,1,14,36,8,102,6,3.63,4.68,142,2,5.14,0.14,5.27,23500,고졸,,,,,2,144,144,471,93,51,41,17,56,6,1288.2,713,1401,266,16,154,476,109,1025,72,4.98,5.13,765.2,523,18.95,7.48,26.43,535100,
2020,두산,이용찬,SP,우투,9,신규,A,2019,30,26,26,0,7,10,0,0,0,0,148.1,67,168,28,2,15,45,6,102,3,4.07,4.34,148.1,0,2.75,,2.75,39000,고졸,,,,,1,144,144,477,88,55,44,16,69,4,1283.2,500,1259,231,22,78,380,70,860,48,3.51,3.87,826.1,457.1,22.48,6.48,28.95,590000,
2021,두산,이용찬,SP,우투,9,신규,A,2020,31,5,5,0,1,3,0,0,0,0,26.2,25,41,8,0,7,6,0,15,1,8.44,6.41,26.2,0,-0.17,,-0.17,42000,고졸,,이적,3,10,2,144,144,512,79,61,23,15,45,9,1285.2,616,1395,258,25,109,478,61,1046,52,4.31,4.2,773.2,512,19.83,4.48,24.3,443600,
2022,NC,이용찬,CP,우투,,FA 1년차,,2021,32,39,0,39,1,3,16,4,3,0,37,9,27,4,0,2,11,1,35,2,2.19,2.97,0,37,,1.41,1.41,10000,,,,,,7,,144,144,552,67,68,33,18,80,9,1256.2,634,1268,231,15,125,592,77,1055,75,4.54,4.34,746.2,510,16.69,4.82,21.51,403800
2012,SK,이재영,RP,우투,8,신규,A,2011,32,21,0,21,2,0,0,,2,,29,9,19,,,3,8,0,15,0,2.79,4.42,,,,0.97,0.97,10000,대졸,,,,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2013,SK,이재영,RP,우투,8,신규,A,2012,33,48,0,48,6,3,1,,10,,65,31,65,,,6,35,5,46,3,4.29,4.44,,,,0.56,0.56,10000,대졸,,,,,2,133,133,416,71,59,40,,69,,1181.1,502,1114,,,90,457,70,814,35,3.82,3.93,,,10.76,7.91,18.67,249200,
2014,SK,이재영,RP,우투,8,신규,A,2013,34,44,0,44,2,4,0,1,3,0,43.2,27,39,6,0,5,24,5,35,2,5.56,5.22,0,43.2,,-0.22,-0.22,12000,대졸,,,,,6,128,128,394,62,63,31,17,38,5,1139,527,1091,217,12,101,505,70,878,66,4.16,4.43,750,389,15.86,3.14,19,208900,
2015,SK,이재영,RP,우투,8,신규,A,2014,35,38,0,38,1,0,0,0,4,1,48,33,45,11,1,7,28,0,42,5,6.19,5.61,0,48,,0.27,0.27,12000,대졸,,잔류,2,5.5,5,128,128,427,61,65,26,15,44,7,1129.1,692,1271,239,21,153,522,68,837,67,5.51,5.49,673.1,456,13.55,3.71,17.26,270300,
2016,SK,이재영,RP,우투,,FA 1년차,,2015,36,26,0,26,1,0,0,0,1,0,31,16,36,12,1,4,13,3,26,1,4.65,5.13,0,31,,0.55,0.55,15000,,,,,,5,144,144,477,69,73,31,11,60,3,1280.2,670,1358,270,11,153,517,70,1149,71,4.71,4.6,740.2,540,15.11,8.4,23.52,354500,
2020,NC,이재학,SP,우사,9,신규,B,2019,29,24,23,1,10,4,0,0,0,0,129.2,54,133,24,2,6,43,9,91,6,3.75,3.85,127.2,2,3.2,0.03,3.23,24500,고졸,,,,,5,144,144,501,73,69,32,17,68,5,1284.1,572,1285,199,19,103,483,92,991,68,4.01,4.17,785.1,499,21.67,6.01,27.68,370100,
2021,NC,이재학,SP,우사,9,신규,B,2020,30,19,19,0,5,6,0,0,0,0,90.2,66,105,21,1,14,43,5,61,4,6.55,5.79,90.2,0,1.01,,1.01,27500,고졸,,,,,1,144,144,592,83,55,31,19,88,3,1296.2,660,1292,199,15,153,547,79,1049,65,4.58,4.86,754,542.2,21.71,7.36,29.07,438600,
2022,NC,이재학,SP,우사,9,신규,B,2021,31,17,17,0,6,6,0,0,0,0,83,48,74,16,1,14,52,6,65,3,5.2,5.84,83,0,1.65,,1.65,20000,고졸,,,,,7,,144,144,552,67,68,33,18,80,9,1256.2,634,1268,231,15,125,592,77,1055,75,4.54,4.34,746.2,510,16.69,4.82,21.51,403800
